# latent-dirac antiproton yield table v1
# generator = engine/yieldgen
# geant4_version = $Name: geant4-11-04-patch-02 [MT]$
# physics_list = FTFP_BERT
# datasets = G4NDL4.7.1,G4EMLOW8.8,PhotonEvaporation6.1.2,RadioactiveDecay6.1.2,G4PARTICLEXS4.2,G4PII1.3,RealSurface2.2,G4SAIDDATA2.0,G4ABLA3.3,G4INCL1.3,G4ENSDFSTATE3.0,G4CHANNELING2.0
# patches = none
# primary = proton
# primary_momentum_gev_c = 26
# n_primaries = 2000000
# target = iridium cylinder r_mm=1.5 half_length_mm=27.5
# columns = x_m,y_m,z_m,px_gev_c,py_gev_c,pz_gev_c
0.00126686,-0.000803152,0.0106031,0.781863,-0.385587,3.22892
0.000488272,0.00141831,-0.0200793,0.19932,0.480605,1.41388
0.000647708,-0.00135295,-0.00134173,0.0789786,-0.100124,2.37693
-0.000131018,0.00149427,-0.0118619,-0.0300572,0.49001,1.93801
0.000598195,-0.000436975,0.0275,0.704937,-0.311337,3.76588
0.000479948,0.000256219,0.0275,0.522036,0.233409,3.9971
0.0013623,-0.000627814,0.00281756,0.382233,-0.123637,7.34801
-0.00136567,0.000620434,-0.0177136,-0.818738,0.376495,2.36371
0.000349112,0.00145881,0.0115025,-0.0204113,0.0774203,0.138857
-0.00148397,0.000218722,0.017735,-0.545829,0.0664088,6.01718
0.000827472,-0.00125112,-0.00310004,0.24275,-0.393575,5.10819
0.00111918,0.000998721,0.0193685,0.241362,0.218516,4.6384
0.00125499,-0.000821583,0.0184095,0.678361,-0.474546,1.21695
0.00147735,-0.000259671,0.0241641,0.559266,-0.0460345,2.65924
-0.000522664,0.001406,-0.00365048,-0.122853,0.332443,0.370288
-0.000604137,0.000331072,0.0275,-0.130421,0.0771579,0.480748
0.00113172,-0.000984483,-0.00810188,0.289071,-0.244623,1.58409
-0.00142241,0.000476186,0.0188319,-0.351166,0.0246577,4.12015
0.00148369,0.000220613,0.0199578,0.438208,0.0805303,4.86674
-7.32692e-05,0.00149821,0.00510658,-0.0431579,0.549764,3.82053
-0.0011938,0.000908203,0.01706,-0.510568,0.36665,2.30996
-0.000977326,-0.00113791,0.00572198,-0.261827,-0.252155,3.70445
0.000193781,-0.000374264,0.0275,0.380736,-0.297928,3.34767
0.00108274,0.00103811,0.0103142,0.615373,0.606854,1.96167
0.000232685,0.000469441,0.0275,0.062517,0.0764577,5.19311
8.06361e-05,5.4079e-05,0.0275,0.470676,0.205069,4.68349
1.33876e-05,-0.00149994,-0.00647878,0.0423086,-0.354572,4.57908
-0.0014983,7.13667e-05,0.0249752,-0.353873,0.0640925,3.61775
-0.00129181,-0.000762383,-0.00408097,-0.390844,-0.180922,4.40247
-0.00141623,0.000494256,0.00251151,-0.407284,0.115233,2.69392
-0.000120529,0.000678503,0.0275,-0.004923,0.231834,16.988
0.00115279,-0.000959731,0.00470289,0.420631,-0.36154,3.42669
0.000141945,-0.00063829,0.0275,0.0892942,-0.337457,5.13905
0.000393352,0.00144751,-0.00321692,-0.0163012,0.152751,1.76272
-0.000982298,0.00113362,0.000614438,-0.36636,0.488635,5.30049
-0.000244775,-0.000144393,0.0275,-0.131994,-0.0423492,4.57154
0.0014395,-0.000421707,-0.0130243,0.447572,-0.113989,2.53212
-0.000474873,0.00142285,0.0265622,-0.0653999,0.130657,0.320354
0.000787109,-0.00127689,-0.00201849,0.0522996,-0.246211,2.3754
8.6551e-05,0.000217491,0.0275,-0.0750478,0.353152,9.39356
0.000159277,0.00131226,0.0275,0.0770507,0.398068,5.35387
0.000563112,-0.00139029,0.0172421,0.318654,-0.684284,2.09536
-0.000192388,-0.000168136,0.0275,-0.334696,-0.23753,3.80277
-0.00139616,-0.000548401,0.00133882,-0.456156,-0.146832,2.85034
0.00114097,-0.000973755,0.0205065,0.327702,0.0441615,0.843338
0.000221603,-0.00148354,0.00661766,0.0650827,-0.636285,7.27517
-0.00017616,2.56125e-05,0.0275,-0.191049,0.070184,2.2104
-0.00131881,-0.000714662,-0.00510686,-0.245098,-0.168566,3.844
-0.000321403,-0.00146516,-0.0212549,-0.0874288,-0.393035,1.12346
