# latent-dirac positron yield table v1
# generator = engine/positrongen
# geant4_version = $Name: geant4-11-04-patch-02 [MT]$
# physics_list = FTFP_BERT
# datasets = G4NDL4.7.1,G4EMLOW8.8,PhotonEvaporation6.1.2,RadioactiveDecay6.1.2,G4PARTICLEXS4.2,G4PII1.3,RealSurface2.2,G4SAIDDATA2.0,G4ABLA3.3,G4INCL1.3,G4ENSDFSTATE3.0,G4CHANNELING2.0
# patches = none
# primary = e-
# primary_kinetic_mev = 10
# n_primaries = 10000000
# target = tungsten disc r_mm=5 half_length_mm=1
# columns = x_m,y_m,z_m,px_gev_c,py_gev_c,pz_gev_c
0.00319078,-0.00260574,0.001,-0.00113156,-0.000993941,0.00110744
-0.000291756,0.000352723,-0.001,0.00115774,-5.57702e-05,-0.00176862
-0.00195456,-0.00399783,0.001,-7.1234e-05,2.87538e-05,0.0028353
0.000311301,7.8823e-05,-0.001,-0.00234395,-0.00137802,-0.00210842
-0.000388154,0.000732333,0.001,0.000327349,0.000137246,0.000131159
-0.000538512,0.0012587,0.001,-0.000714892,-0.000603955,0.000989691
0.00084122,0.000786152,0.001,-0.000584688,0.000243601,0.00149022
-1.90906e-05,0.00025898,0.001,7.00501e-05,0.00103319,0.00824325
-0.00102797,0.00323701,0.001,-0.000273081,-0.00071184,0.000685068
0.000208181,-0.000381711,0.001,0.000643007,-0.000684511,0.00243682
-0.000103554,-0.000232585,0.001,0.00116133,-0.00180288,0.0035689
-0.00038087,3.26089e-05,0.001,-0.00169183,-0.000657647,0.00415128
0.00103162,-0.000119985,0.001,-0.00101321,-9.02966e-05,0.00146437
0.000640486,-0.000360526,0.001,-0.000696011,-0.00152274,0.00332285
0.00133027,0.00159535,0.001,0.00109263,0.00157205,0.00307268
-0.00157947,0.00206303,0.001,0.000654997,0.000145169,0.00021919
0.00136982,-0.00342714,0.001,-0.000734694,-9.86133e-05,0.000749281
-0.00174493,-0.0016038,0.001,-0.0024893,-0.000650325,0.00220911
0.000440758,-0.000193812,0.001,-0.000426906,-0.00214462,0.00246155
-0.000447416,0.00136847,0.001,-0.00152524,8.63068e-05,0.00182774
9.59314e-05,0.000181006,0.001,-0.00104574,-0.000749729,0.00166158
0.000476869,-0.00147293,0.001,-5.82525e-05,-0.00141852,0.00230905
-0.00157851,0.00189139,0.001,-0.000214597,0.00190077,0.000206896
-0.00106674,-0.00242027,-0.001,0.000829404,-0.00154018,-0.00150253
-0.000683116,0.00103863,0.001,-0.00295621,-0.00129536,0.0019368
0.000657326,0.000467932,0.001,-0.000794732,-0.000637748,0.00171434
